state,Cluster,country
NB,1,canada
NM,1,us
AL_br,2,brazil
AM_br,2,brazil
BA_br,2,brazil
Benz_br,2,brazil
ES_br,2,brazil
GO_br,2,brazil
GuaçuSP_br,2,brazil
HospitaldaBaleia_br,2,brazil
Libanês_br,2,brazil
MA_br,2,brazil
MG_br,2,brazil
MS_br,2,brazil
MT_br,2,brazil
PA_br,2,brazil
PB_br,2,brazil
PE_br,2,brazil
PR_br,2,brazil
RJ_br,2,brazil
RN_br,2,brazil
SC_br,2,brazil
SP_br,2,brazil
British Columbia,3,canada
CE_br,3,brazil
KY,3,us
NL,3,canada
NT,3,canada
SE_br,3,brazil
YT,3,canada
AB,4,canada
AL,4,us
AR,4,us
AZ,4,us
BC,4,canada
CA,4,us
Canada,4,canada
CO,4,us
CT,4,us
DC,4,us
DF_br,4,brazil
FL,4,us
GA,4,us
HI,4,us
IA,4,us
ID,4,us
IL,4,us
IN,4,us
KS,4,us
LA,4,us
LosAngelesCA,4,us
MA,4,us
MB,4,canada
MD,4,us
MI,4,us
MN,4,us
MO,4,us
MS,4,us
NC,4,us
ND,4,us
NE,4,us
ni,4,us
NI,4,canada
NJ,4,us
NS,4,canada
NV,4,us
NY,4,us
OH,4,us
OK,4,us
ON,4,canada
OR,4,us
PA,4,us
QC,4,canada
RI,4,us
RS_br,4,brazil
SC,4,us
SD,4,us
SK,4,canada
TN,4,us
TX,4,us
UT,4,us
VA,4,us
VT,4,us
WA,4,us
WI,4,us
WV,4,us
WY,4,us
